	GCF_000267545.1_ASM26754v1_genomic.fna	GCF_001648195.1_ASM164819v1_genomic.fna	GCF_000590475.1_ASM59047v1_genomic.fna	GCF_000195105.1_ASM19510v1_genomic.fna	GCF_000818015.1_ASM81801v1_genomic.fna	GCF_000661915.1_ASM66191v1_genomic.fna	GCF_001038645.1_ASM103864v1_genomic.fna	GCF_000327065.1_ASM32706v1_genomic.fna	GCF_000279165.1_ASM27916v1_genomic.fna	GCF_000013785.1_ASM1378v1_genomic.fna	GCF_000016565.1_ASM1656v1_genomic.fna	GCF_000219605.1_ASM21960v1_genomic.fna	SAMD00059319_PSCT_BDJA01_FF.fna
PSCT_01140	0.85	0.68	0.67	0.81	0.68	0.99	0.80	1.00	0.73	0.81	0.69	0.81	1.00
PSCT_01141	0.97	0.91	0.91	0.98	0.93	0.99	0.98	1.00	0.95	0.98	0.83	0.98	1.00
PSCT_01142	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01143	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	1.00
PSCT_01144	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01145	0.09	0.08	0.00	0.09	0.21	0.08	0.09	0.08	0.00	0.08	0.08	0.09	1.00
PSCT_01146	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01147	0.08	0.00	0.00	0.08	0.00	0.27	0.00	0.08	0.08	0.08	0.00	0.00	1.00
PSCT_01148	0.00	0.00	0.05	0.05	0.05	0.43	0.05	0.00	0.05	0.05	0.05	0.00	1.00
PSCT_01149	0.11	0.00	0.10	0.11	0.10	0.30	0.10	0.10	0.10	0.11	0.11	0.11	1.00
PSCT_01150	0.09	0.00	0.00	0.10	0.09	0.33	0.09	0.09	0.00	0.09	0.09	0.09	1.00
PSCT_01151	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01152	0.00	0.00	0.00	0.00	0.04	0.21	0.04	0.00	0.00	0.00	0.04	0.00	1.00
PSCT_01153	0.03	0.03	0.00	0.03	0.06	0.03	0.03	0.03	0.03	0.00	0.04	0.03	1.00
PSCT_01154	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01155	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	1.00
PSCT_01156	0.00	0.00	0.00	0.04	0.00	0.26	0.00	0.00	0.03	0.03	0.04	0.00	1.00
PSCT_01157	0.22	0.00	0.00	0.22	0.00	0.00	0.22	0.00	0.22	0.22	0.23	0.22	1.00
PSCT_01158	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.08	0.08	0.00	0.00	1.00
PSCT_01159	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01160	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.10	0.00	1.00
PSCT_01161	0.15	0.13	0.13	0.14	0.16	0.14	0.15	0.14	0.15	0.14	0.17	0.15	1.00
PSCT_01162	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01163	0.05	0.00	0.00	0.05	0.05	0.05	0.05	0.00	0.05	0.05	0.05	0.05	1.00
PSCT_01164	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01165	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01166	0.04	0.05	0.00	0.00	0.05	0.00	0.04	0.05	0.00	0.00	0.00	0.04	1.00
PSCT_01167	0.00	0.00	0.00	0.03	0.00	0.03	0.03	0.03	0.00	0.00	0.00	0.00	1.00
PSCT_01168	0.00	0.00	0.00	0.00	0.03	0.00	0.03	0.00	0.03	0.00	0.00	0.00	1.00
PSCT_01169	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01170	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01171	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01172	0.00	0.00	0.00	0.13	0.00	0.14	0.13	0.00	0.00	0.13	0.00	0.13	1.00
PSCT_01173	0.09	0.09	0.08	0.09	0.08	0.10	0.08	0.09	0.09	0.08	0.09	0.08	1.00
PSCT_01174	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	1.00
PSCT_01175	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.32	0.00	1.00
PSCT_01176	0.14	0.00	0.13	0.14	0.14	0.13	0.14	0.14	0.13	0.14	0.15	0.14	1.00
PSCT_01177	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01178	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.11	0.00	1.00
PSCT_01179	0.13	0.12	0.12	0.13	0.12	0.00	0.12	0.13	0.14	0.12	0.12	0.13	1.00
PSCT_01180	0.20	0.20	0.20	0.20	0.23	0.00	0.20	0.18	0.21	0.20	0.22	0.20	1.00
PSCT_01181	0.17	0.00	0.00	0.00	0.16	0.00	0.16	0.16	0.00	0.00	0.00	0.00	1.00
PSCT_01182	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01183	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	1.00
PSCT_01184	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.31	0.32	0.31	0.41	0.31	1.00
PSCT_01185	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	1.00
PSCT_01186	0.13	0.11	0.12	0.11	0.13	0.11	0.11	0.12	0.13	0.14	0.12	0.11	1.00
PSCT_01187	0.08	0.00	0.00	0.08	0.00	0.08	0.00	0.00	0.00	0.00	0.08	0.00	1.00
PSCT_01188	0.00	0.14	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	1.00
PSCT_01189	0.11	0.13	0.11	0.11	0.13	0.00	0.00	0.00	0.11	0.00	0.00	0.11	1.00
PSCT_01190	0.00	0.00	0.00	0.00	0.07	0.08	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01191	0.07	0.00	0.00	0.07	0.07	0.07	0.07	0.07	0.00	0.07	0.08	0.07	1.00
PSCT_01192	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.03	0.00	0.00	1.00
PSCT_01193	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.06	0.00	0.00	1.00
PSCT_01194	0.94	0.57	0.55	0.96	0.29	0.98	0.96	1.00	0.29	0.96	0.30	0.96	1.00
PSCT_01195	0.96	0.84	0.85	0.95	0.85	0.97	0.69	1.00	0.86	0.95	0.83	0.94	1.00
PSCT_01196	0.95	0.73	0.74	0.89	0.81	0.98	0.89	1.00	0.76	0.89	0.70	0.59	1.00
PSCT_01197	0.98	0.93	0.92	0.97	0.89	0.99	0.97	1.00	0.89	0.97	0.81	0.97	1.00
PSCT_01198	0.96	0.87	0.87	0.93	0.86	0.97	0.93	1.00	0.90	0.93	0.75	0.93	1.00
PSCT_01199	0.87	0.52	0.52	0.84	0.56	0.87	0.84	1.00	0.58	0.85	0.00	0.85	1.00
PSCT_01200	0.99	0.94	0.94	0.97	0.93	0.99	0.97	1.00	0.93	0.97	0.87	0.97	1.00
PSCT_01201	0.96	0.80	0.77	0.89	0.64	1.00	0.89	1.00	0.64	0.89	0.72	0.88	1.00
PSCT_01202	0.90	0.64	0.66	0.78	0.62	0.93	0.79	1.00	0.63	0.79	0.61	0.79	1.00
PSCT_01203	0.94	0.72	0.69	0.89	0.74	0.92	0.89	1.00	0.72	0.89	0.81	0.89	1.00
PSCT_01204	0.92	0.96	0.88	0.94	0.79	0.93	0.94	1.00	0.92	0.94	0.75	0.94	1.00
PSCT_01205	0.92	0.04	0.04	0.91	0.04	0.04	0.91	1.00	0.04	0.91	0.70	0.92	1.00
PSCT_01206	0.99	0.85	0.85	0.96	0.91	0.96	0.96	1.00	0.85	0.96	0.81	0.96	1.00
PSCT_01207	0.97	0.88	0.86	0.94	0.86	0.95	0.94	1.00	0.86	0.94	0.78	0.94	1.00
PSCT_01208	0.98	0.88	0.87	0.99	0.87	0.99	0.99	0.99	0.88	0.98	0.87	0.98	1.00
PSCT_01209	0.93	0.83	0.56	0.94	0.80	0.96	0.95	1.00	0.80	0.95	0.60	0.95	1.00
PSCT_01210	0.92	0.80	0.54	0.86	0.81	0.95	0.93	1.00	0.81	0.93	0.59	0.85	1.00
PSCT_01211	0.98	0.86	0.00	0.96	0.80	0.99	0.51	1.00	0.00	0.96	0.65	0.95	1.00
PSCT_01212	0.97	0.90	0.89	0.93	0.92	0.98	0.93	0.97	0.92	0.93	0.84	0.93	1.00
PSCT_01213	0.48	0.22	0.22	0.86	0.20	0.93	0.86	0.94	0.84	0.86	0.39	0.86	1.00
PSCT_01214	0.89	0.06	0.05	0.85	0.06	0.89	0.85	0.90	0.06	0.85	0.56	0.85	1.00
PSCT_01215	0.90	0.08	0.08	0.89	0.09	0.98	0.90	0.97	0.08	0.89	0.56	0.89	1.00
PSCT_01216	0.90	0.23	0.22	0.87	0.25	0.91	0.87	0.99	0.23	0.87	0.49	0.87	1.00
PSCT_01217	0.94	0.10	0.10	0.90	0.08	0.94	0.93	0.98	0.89	0.89	0.10	0.89	1.00
PSCT_01218	0.94	0.85	0.85	0.96	0.03	0.97	0.96	0.99	0.91	0.96	0.79	0.95	1.00
PSCT_01219	0.99	0.65	0.66	1.00	0.67	1.00	1.00	1.00	0.94	1.00	0.65	1.00	1.00
PSCT_01220	0.00	0.00	0.00	0.98	0.00	0.00	0.98	0.99	0.88	0.98	0.82	0.98	1.00
PSCT_01221	0.84	0.45	0.47	0.86	0.11	0.85	0.86	0.99	0.09	0.86	0.12	0.86	1.00
PSCT_01222	0.91	0.69	0.71	0.88	0.68	0.90	0.89	0.98	0.71	0.89	0.05	0.89	1.00
PSCT_01223	0.18	0.22	0.21	0.50	0.18	0.75	0.50	0.97	0.17	0.50	0.25	0.50	1.00
PSCT_01224	0.96	0.04	0.00	0.89	0.00	0.99	0.89	1.00	0.04	0.89	0.04	0.89	1.00
PSCT_01225	0.96	0.74	0.79	0.86	0.70	0.98	0.86	1.00	0.76	0.86	0.56	0.86	1.00
PSCT_01226	0.91	0.85	0.82	0.88	0.00	0.97	0.88	1.00	0.34	0.88	0.76	0.88	1.00
PSCT_01227	0.59	0.08	0.07	0.73	0.08	0.95	0.74	0.98	0.10	0.73	0.45	0.73	1.00
PSCT_01228	0.91	0.08	0.09	0.88	0.61	0.99	0.88	1.00	0.08	0.88	0.51	0.88	1.00
PSCT_01229	0.58	0.58	0.00	0.83	0.69	0.99	0.83	0.99	0.77	0.83	0.07	0.83	1.00
PSCT_01230	0.95	0.08	0.83	0.88	0.88	0.96	0.88	0.98	0.81	0.88	0.00	0.88	1.00
PSCT_01231	0.97	0.90	0.72	0.92	0.83	0.96	0.92	0.99	0.87	0.92	0.80	0.92	0.99
PSCT_01232	0.87	0.74	0.00	0.76	0.57	0.95	0.75	0.97	0.06	0.76	0.05	0.76	1.00
PSCT_01233	0.99	0.87	0.17	0.93	0.77	1.00	0.93	0.99	0.29	0.93	0.23	0.93	1.00
PSCT_01234	0.95	0.76	0.26	0.81	0.66	0.94	0.80	0.97	0.28	0.80	0.33	0.80	1.00
PSCT_01235	0.99	0.79	0.79	0.96	0.79	0.98	0.57	0.99	0.86	0.96	0.04	0.96	1.00
PSCT_01236	1.00	0.50	0.50	0.96	0.64	0.99	0.96	1.00	0.80	0.96	0.47	0.96	1.00
PSCT_01237	0.17	0.16	0.50	0.91	0.17	0.17	0.71	0.99	0.16	0.91	0.17	0.91	1.00
PSCT_01238	0.74	0.38	0.33	0.64	0.23	0.70	0.64	1.00	0.48	0.65	0.19	0.93	1.00
PSCT_01239	0.91	0.74	0.74	0.92	0.00	0.97	0.90	1.00	0.39	0.92	0.00	0.97	1.00
PSCT_01240	0.90	0.66	0.66	0.92	0.32	0.94	0.94	1.00	0.84	0.92	0.36	0.94	1.00
PSCT_01241	0.66	0.47	0.47	0.84	0.18	0.95	0.83	0.97	0.82	0.84	0.23	0.83	1.00
PSCT_01242	0.96	0.68	0.66	0.94	0.72	0.97	0.94	0.99	0.84	0.94	0.56	0.94	1.00
PSCT_01243	0.76	0.00	0.00	0.87	0.43	0.91	0.87	0.99	0.00	0.87	0.00	0.87	0.99
PSCT_01244	0.93	0.35	0.36	0.92	0.81	0.96	0.92	0.99	0.34	0.92	0.36	0.91	1.00
PSCT_01245	0.07	0.70	0.71	0.86	0.06	0.96	0.86	0.99	0.06	0.86	0.61	0.86	1.00
PSCT_01246	0.82	0.81	0.81	0.95	0.82	0.98	0.95	0.98	0.30	0.95	0.74	0.95	1.00
PSCT_01247	0.87	0.20	0.20	0.95	0.72	0.96	0.94	1.00	0.72	0.95	0.19	0.95	1.00
PSCT_01248	0.92	0.71	0.00	0.13	0.76	0.13	0.13	1.00	0.14	0.13	0.00	0.13	1.00
PSCT_01249	0.88	0.53	0.09	0.61	0.09	0.08	0.09	0.99	0.09	0.08	0.59	0.09	1.00
PSCT_01250	0.97	0.85	0.00	0.82	0.07	0.07	0.07	0.99	0.07	0.00	0.82	0.07	1.00
PSCT_01251	0.86	0.27	0.12	0.21	0.12	0.12	0.13	0.99	0.13	0.20	0.20	0.13	1.00
PSCT_01252	0.97	0.74	0.75	0.95	0.90	0.96	0.65	0.97	0.23	0.95	0.47	0.95	1.00
PSCT_01253	0.92	0.64	0.63	0.89	0.27	0.94	0.89	0.98	0.26	0.88	0.21	0.88	1.00
PSCT_01254	0.91	0.60	0.55	0.86	0.81	0.90	0.85	0.98	0.61	0.84	0.44	0.89	1.00
PSCT_01255	0.98	0.82	0.81	0.96	0.78	0.96	0.96	0.99	0.81	0.96	0.11	0.97	1.00
PSCT_01256	0.99	0.68	0.23	0.99	0.64	1.00	0.98	1.00	0.68	0.99	0.00	0.99	1.00
PSCT_01257	0.99	0.16	0.16	0.99	0.86	0.99	0.99	0.99	0.17	0.98	0.35	0.99	1.00
PSCT_01258	0.95	0.00	0.00	0.84	0.70	0.97	0.85	0.96	0.17	0.83	0.14	0.84	1.00
PSCT_01259	0.97	0.83	0.82	0.97	0.85	0.98	0.97	0.99	0.00	0.97	0.07	0.97	1.00
PSCT_01260	0.23	0.18	0.14	0.23	0.28	0.18	0.20	0.51	0.37	0.32	0.14	0.27	1.00
PSCT_01261	0.99	0.94	0.95	1.00	0.94	1.00	1.00	0.99	0.94	1.00	0.11	1.00	1.00
PSCT_01262	1.00	0.91	0.90	0.98	0.87	0.99	0.98	0.99	0.87	0.99	0.06	0.99	1.00
PSCT_01263	0.99	0.83	0.84	0.99	0.83	0.99	0.99	0.99	0.81	0.99	0.17	0.98	1.00
PSCT_01264	0.97	0.78	0.78	0.98	0.13	0.98	0.98	0.98	0.78	0.97	0.59	0.98	1.00
PSCT_01265	0.94	0.85	0.77	0.87	0.00	0.95	0.87	0.98	0.77	0.87	0.21	0.91	1.00
PSCT_01266	0.98	0.91	0.92	0.97	0.58	0.99	0.97	1.00	0.87	0.97	0.69	0.97	1.00
PSCT_01267	0.97	0.93	0.93	0.98	0.19	0.97	0.98	0.98	0.91	0.98	0.19	0.98	1.00
PSCT_01268	0.98	0.76	0.79	0.95	0.20	0.97	0.94	0.98	0.91	0.94	0.19	0.95	1.00
PSCT_01269	0.97	0.85	0.86	0.97	0.39	0.98	0.97	0.98	0.94	0.96	0.35	0.97	1.00
PSCT_01270	0.97	0.80	0.79	0.97	0.08	0.97	0.97	0.97	0.93	0.97	0.10	0.97	1.00
PSCT_01271	0.94	0.68	0.69	0.91	0.07	0.93	0.91	0.95	0.86	0.91	0.10	0.90	1.00
PSCT_01272	0.95	0.71	0.72	0.96	0.36	0.96	0.96	0.97	0.63	0.96	0.23	0.96	1.00
PSCT_01273	0.98	0.21	0.73	0.69	0.20	0.21	0.69	0.21	0.65	0.69	0.08	0.19	1.00
PSCT_01274	0.94	0.82	0.80	0.88	0.29	0.86	0.88	0.93	0.27	0.88	0.11	0.49	1.00
PSCT_01275	0.93	0.91	0.87	0.88	0.14	0.94	0.88	0.93	0.06	0.88	0.06	0.88	1.00
PSCT_01276	0.97	0.84	0.81	0.90	0.80	0.98	0.91	0.96	0.13	0.90	0.13	0.90	1.00
PSCT_01277	0.94	0.86	0.14	0.89	0.84	0.98	0.88	0.96	0.15	0.88	0.62	0.88	1.00
PSCT_01278	0.57	0.22	0.87	0.92	0.29	0.99	0.92	0.99	0.23	0.91	0.28	0.91	1.00
PSCT_01279	0.98	0.93	0.80	0.79	0.32	0.98	0.80	0.98	0.25	0.80	0.26	0.80	1.00
PSCT_01280	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
PSCT_01281	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	1.00
PSCT_01282	0.97	0.30	0.29	0.88	0.93	0.96	0.88	0.95	0.84	0.29	0.30	0.88	1.00
PSCT_01283	0.85	0.00	0.12	0.87	0.89	0.95	0.87	0.97	0.83	0.11	0.11	0.86	1.00
PSCT_01284	0.97	0.45	0.44	0.81	0.89	0.99	0.82	0.99	0.81	0.44	0.43	0.82	1.00
PSCT_01285	0.00	0.00	0.00	0.91	0.94	0.04	0.89	0.98	0.00	0.00	0.00	0.90	1.00
PSCT_01286	0.22	0.22	0.33	0.96	0.94	0.34	0.96	0.99	0.21	0.22	0.22	0.96	1.00
PSCT_01287	0.00	0.06	0.07	0.84	0.78	0.00	0.85	1.00	0.06	0.00	0.06	0.85	1.00
PSCT_01288	0.25	0.23	0.23	0.88	0.92	0.25	0.87	0.99	0.23	0.25	0.23	0.87	1.00
PSCT_01289	0.24	0.19	0.00	0.94	0.96	0.23	0.94	0.99	0.19	0.22	0.21	0.94	1.00
PSCT_01290	0.09	0.09	0.09	0.98	0.98	0.39	0.98	0.99	0.08	0.09	0.32	0.98	1.00
PSCT_01291	0.17	0.19	0.17	0.98	0.97	0.16	0.98	0.99	0.17	0.16	0.17	0.98	1.00
PSCT_01292	0.05	0.06	0.06	0.98	0.97	0.29	0.98	0.99	0.06	0.05	0.20	0.99	1.00
PSCT_01293	0.09	0.27	0.14	0.97	0.95	0.09	0.97	0.99	0.09	0.09	0.10	0.97	1.00
PSCT_01294	0.00	0.00	0.00	0.87	0.77	0.09	0.88	0.95	0.00	0.00	0.11	0.88	1.00
PSCT_01295	0.33	0.33	0.33	0.93	0.86	0.34	0.93	0.98	0.25	0.23	0.26	0.93	1.00
PSCT_01296	0.88	0.63	0.65	0.86	0.66	0.87	0.86	0.91	0.68	0.86	0.00	0.86	1.00
PSCT_01297	0.99	0.21	0.20	0.96	0.83	0.98	0.96	1.00	0.19	0.96	0.18	0.96	1.00
PSCT_01298	0.96	0.77	0.77	0.87	0.69	0.94	0.87	0.97	0.77	0.87	0.71	0.87	1.00
PSCT_01299	0.96	0.73	0.83	0.72	0.78	0.72	0.72	0.99	0.72	0.72	0.00	0.00	1.00
PSCT_01300	0.90	0.66	0.63	0.92	0.74	0.98	0.92	0.99	0.60	0.91	0.23	0.91	1.00
PSCT_01301	0.92	0.81	0.80	0.93	0.16	0.93	0.92	1.00	0.54	0.92	0.15	0.92	1.00
PSCT_01302	0.94	0.74	0.73	0.96	0.87	0.96	0.96	0.99	0.89	0.96	0.70	0.96	1.00
PSCT_01303	0.87	0.66	0.92	0.87	0.83	0.87	0.98	0.87	0.82	0.98	0.56	0.87	1.00
PSCT_01304	0.80	0.43	0.42	0.77	0.50	0.85	0.77	1.00	0.00	0.77	0.04	0.77	1.00
PSCT_01305	0.74	0.35	0.36	0.72	0.48	0.73	0.73	1.00	0.10	0.74	0.00	0.73	1.00
PSCT_01306	0.98	0.92	0.91	0.97	0.93	0.98	0.97	1.00	0.00	0.97	0.00	0.97	1.00
PSCT_01307	0.87	0.71	0.63	0.87	0.65	0.90	0.87	1.00	0.11	0.87	0.00	0.87	1.00
PSCT_01308	0.92	0.77	0.77	0.93	0.79	0.96	0.93	0.99	0.11	0.93	0.00	0.93	0.99
PSCT_01309	0.86	0.57	0.55	0.80	0.57	0.83	0.80	1.00	0.36	0.80	0.12	0.80	1.00
PSCT_01310	0.92	0.82	0.81	0.90	0.76	0.96	0.89	0.99	0.81	0.90	0.30	0.90	1.00
PSCT_01311	0.96	0.75	0.75	0.90	0.00	0.95	0.91	1.00	0.75	0.90	0.12	0.91	1.00
PSCT_01312	0.97	0.80	0.80	0.93	0.76	0.97	0.93	1.00	0.79	0.93	0.67	0.93	1.00
PSCT_01313	1.00	0.96	0.96	0.99	0.94	1.00	0.99	1.00	0.96	0.99	0.91	0.99	1.00
PSCT_01314	0.98	0.37	0.73	0.87	0.42	0.96	0.87	0.99	0.74	0.93	0.00	0.86	1.00
PSCT_01315	0.98	0.87	0.87	0.92	0.83	0.97	0.91	0.99	0.86	0.92	0.81	0.92	1.00
PSCT_01316	0.97	0.65	0.66	0.89	0.78	0.97	0.88	1.00	0.66	0.89	0.72	0.88	1.00
PSCT_01317	0.95	0.88	0.89	0.92	0.87	0.96	0.93	1.00	0.87	0.93	0.80	0.92	1.00
PSCT_01318	0.20	0.18	0.19	0.20	0.61	0.88	0.20	0.99	0.19	0.20	0.17	0.20	1.00
PSCT_01319	0.00	0.45	0.00	0.00	0.00	0.83	0.00	0.99	0.12	0.00	0.00	0.00	1.00
PSCT_01320	0.80	0.68	0.65	0.71	0.70	0.88	0.70	0.99	0.72	0.71	0.10	0.70	1.00
PSCT_01321	0.97	0.89	0.91	0.95	0.86	0.98	0.95	1.00	0.91	0.95	0.76	0.95	1.00
PSCT_01322	0.93	0.83	0.83	0.93	0.83	0.95	0.94	0.99	0.86	0.94	0.79	0.94	1.00
PSCT_01323	0.86	0.69	0.23	0.85	0.74	0.93	0.84	0.99	0.69	0.86	0.23	0.84	1.00
PSCT_01324	0.90	0.77	0.06	0.88	0.84	0.95	0.89	1.00	0.79	0.90	0.08	0.89	1.00
PSCT_01325	0.97	0.91	0.90	0.97	0.91	0.98	0.97	1.00	0.92	0.97	0.82	0.97	1.00
PSCT_01326	0.74	0.67	0.67	0.76	0.66	0.88	0.76	1.00	0.69	0.76	0.63	0.76	1.00
PSCT_01327	0.93	0.83	0.86	0.94	0.83	0.95	0.94	0.99	0.83	0.94	0.77	0.94	1.00
PSCT_01328	0.97	0.92	0.93	0.96	0.91	0.99	0.96	1.00	0.91	0.96	0.89	0.97	1.00
PSCT_01329	0.95	0.84	0.85	0.95	0.83	0.96	0.95	1.00	0.85	0.93	0.79	0.95	1.00
PSCT_01330	0.64	0.44	0.48	0.62	0.57	0.68	0.62	0.98	0.53	0.62	0.15	0.63	1.00
PSCT_01331	0.97	0.81	0.82	0.94	0.82	0.98	0.92	1.00	0.86	0.94	0.00	0.94	1.00
PSCT_01332	0.88	0.56	0.56	0.77	0.50	0.72	0.76	0.98	0.53	0.76	0.23	0.76	1.00
PSCT_01333	0.96	0.88	0.86	0.95	0.87	0.96	0.95	0.99	0.84	0.95	0.83	0.95	1.00
PSCT_01334	0.81	0.60	0.58	0.80	0.47	0.85	0.79	0.98	0.53	0.80	0.52	0.79	1.00
PSCT_01335	0.95	0.86	0.85	0.94	0.86	0.95	0.94	0.99	0.85	0.94	0.74	0.94	1.00
PSCT_01336	0.88	0.76	0.77	0.88	0.76	0.92	0.88	1.00	0.80	0.88	0.76	0.88	1.00
PSCT_01337	0.95	0.93	0.93	0.95	0.94	0.96	0.95	0.99	0.94	0.95	0.94	0.95	1.00
PSCT_01338	0.84	0.56	0.56	0.86	0.59	0.89	0.85	0.99	0.57	0.86	0.55	0.86	1.00
PSCT_01339	0.97	0.84	0.84	0.96	0.85	0.97	0.95	1.00	0.84	0.95	0.76	0.95	1.00
PSCT_01340	0.95	0.91	0.90	0.95	0.90	0.97	0.95	0.99	0.92	0.95	0.84	0.95	1.00
PSCT_01341	0.93	0.86	0.85	0.90	0.68	0.94	0.90	1.00	0.84	0.90	0.73	0.90	1.00
PSCT_01342	0.94	0.90	0.90	0.96	0.88	0.94	0.96	0.99	0.86	0.96	0.89	0.96	1.00
PSCT_01343	0.97	0.74	0.77	0.88	0.72	0.96	0.88	1.00	0.74	0.88	0.76	0.89	1.00
PSCT_01344	0.96	0.84	0.85	0.97	0.79	0.97	0.97	1.00	0.82	0.97	0.69	0.97	1.00
PSCT_01345	0.63	0.00	0.00	0.66	0.48	0.62	0.64	1.00	0.00	0.66	0.36	0.66	1.00
PSCT_01346	0.93	0.13	0.00	0.87	0.61	0.94	0.87	0.99	0.00	0.87	0.58	0.87	1.00
PSCT_01347	0.83	0.64	0.62	0.81	0.68	0.86	0.81	1.00	0.65	0.81	0.61	0.81	1.00
PSCT_01348	0.96	0.86	0.85	0.93	0.85	0.98	0.93	1.00	0.89	0.93	0.12	0.93	1.00
PSCT_01349	0.93	0.81	0.79	0.93	0.84	0.96	0.93	1.00	0.82	0.93	0.73	0.93	1.00
PSCT_01350	0.97	0.90	0.91	0.95	0.92	0.98	0.95	1.00	0.92	0.95	0.87	0.94	1.00
PSCT_01351	0.90	0.52	0.51	0.36	0.83	0.89	0.82	0.98	0.66	0.84	0.63	0.86	1.00
PSCT_01352	0.90	0.80	0.84	0.83	0.82	0.89	0.91	0.99	0.87	0.91	0.78	0.91	1.00
PSCT_01353	0.93	0.72	0.73	0.87	0.72	0.73	0.81	0.99	0.70	0.81	0.71	0.81	1.00
PSCT_01354	0.86	0.68	0.70	0.80	0.61	0.90	0.87	1.00	0.69	0.87	0.49	0.87	1.00
PSCT_01355	0.99	0.94	0.93	0.99	0.95	0.99	0.99	0.99	0.93	0.99	0.93	0.99	1.00
PSCT_01356	0.98	0.97	0.95	0.99	0.98	0.99	0.99	1.00	0.94	0.99	0.91	0.99	1.00
PSCT_01357	0.99	0.85	0.86	0.98	0.87	1.00	0.98	1.00	0.86	0.98	0.85	0.98	1.00
PSCT_01358	0.99	0.91	0.92	0.97	0.92	0.99	0.98	1.00	0.92	0.98	0.90	0.98	1.00
PSCT_01359	0.98	0.91	0.92	0.97	0.91	0.99	0.97	0.99	0.93	0.97	0.87	0.97	1.00
PSCT_01360	0.99	0.92	0.91	0.98	0.93	0.99	0.98	1.00	0.91	0.98	0.89	0.98	1.00
PSCT_01361	0.98	0.87	0.85	0.99	0.86	0.99	0.98	0.99	0.86	0.98	0.83	0.98	1.00
PSCT_01362	0.98	0.97	0.99	0.99	0.96	1.00	0.99	1.00	0.98	0.99	0.92	0.99	1.00
PSCT_01363	0.99	0.85	0.84	0.99	0.84	1.00	0.99	1.00	0.83	0.99	0.82	0.99	1.00
PSCT_01364	0.97	0.84	0.84	0.95	0.75	0.98	0.95	0.99	0.83	0.95	0.62	0.95	1.00
PSCT_01365	0.99	0.93	0.93	0.99	0.88	0.99	0.99	1.00	0.92	0.99	0.84	0.99	1.00
PSCT_01366	0.99	0.96	0.95	1.00	0.95	0.99	1.00	1.00	0.95	1.00	0.91	1.00	1.00
